Sondagem,PSD,PS,CDS,BE,CDU,PAN,L,IL,CHE,OBN,Tamanho Amostra,Data,w_poll
AGREGADO,32.9,35.7,1.5,5.6,5.1,2.0,1.5,5.1,6.3,4.0,4570,NaT,
Pitagórica,32.9,36.6,1.4,5.1,5.2,1.2,1.7,5.2,5.4,5.3,608,2022-01-27,2.8117
CESOP-UCP,33.0,36.0,2.0,6.0,5.0,2.0,2.0,6.0,6.0,2.0,1508,2022-01-26,4.1229000000000005
ICS-ISCTE,33.0,35.0,1.0,5.0,6.0,2.0,1.0,6.0,6.0,5.0,1003,2022-01-24,2.9148
Pitagórica,31.4,35.3,1.6,6.1,4.9,1.6,0.8,4.7,6.9,6.5,608,2022-01-23,1.4941
Aximage,34.4,33.8,1.6,6.6,4.5,3.2,1.4,2.8,8.0,3.7,965,2022-01-21,2.3076
Pitagórica,32.9,36.5,1.0,5.0,5.0,1.9,1.5,5.2,6.3,4.7,608,2022-01-19,0.7939
CESOP-UCP,33.0,37.0,2.0,5.0,5.0,2.0,2.0,5.0,6.0,3.0,1017,2022-01-18,1.3519999999999999
Pitagórica,29.6,39.6,0.9,6.0,5.1,1.7,1.5,4.7,8.1,2.8,608,2022-01-15,0.4219
