AD,PS,BE,CDU,PAN,LIVRE,IL,Chega
95,71,8,4,1,3,9,39
92,71,7,5,1,3,9,42
93,71,7,5,1,3,9,41
98,68,5,4,0,3,9,43
93,71,8,5,1,3,9,40
93,68,8,3,1,3,9,45
95,68,9,4,1,3,11,39
94,69,5,4,1,3,11,43
98,67,6,5,2,3,12,37
90,72,6,5,1,3,11,42
91,73,7,4,1,3,9,42
96,65,8,5,0,3,12,41
97,72,7,2,0,3,9,40
93,72,5,5,0,3,9,43
94,71,5,5,1,3,9,42
97,68,6,5,1,3,11,39
93,71,7,5,1,3,9,41
99,69,8,5,1,3,9,36
90,74,7,5,0,3,11,40
96,69,8,5,1,4,9,38
96,70,7,4,1,3,9,40
93,73,7,5,1,3,9,39
95,75,5,4,0,3,9,39
91,73,7,4,1,3,9,42
93,71,7,5,1,3,9,41
94,71,7,5,1,3,12,37
94,74,5,3,1,3,9,41
99,70,6,5,1,4,9,36
98,67,7,3,1,3,12,39
91,73,9,5,0,3,9,40
102,64,5,5,1,3,9,41
93,71,7,5,1,3,9,41
96,70,5,4,1,3,9,42
92,74,5,4,1,3,9,42
93,74,5,4,0,3,9,42
93,72,9,5,1,3,9,38
92,74,7,5,1,3,9,39
91,73,8,3,1,3,9,42
96,70,8,5,0,4,11,36
94,70,7,5,1,3,10,40
94,72,8,5,1,3,10,37
97,69,6,5,1,3,8,41
92,74,8,5,0,3,9,39
94,73,7,5,0,3,11,37
95,74,7,5,1,3,8,37
93,75,6,3,1,3,9,40
94,72,8,5,1,3,9,38
94,74,8,5,0,4,9,36
90,74,7,5,1,3,11,39
94,74,7,5,1,3,9,37
94,74,7,4,1,3,9,38
94,72,6,5,1,3,9,40
96,75,5,5,1,3,9,36
93,71,8,5,1,3,9,40
97,73,8,4,1,3,9,35
95,75,5,5,1,3,9,37
100,69,6,2,1,3,9,40
94,75,5,4,0,3,9,40
95,71,7,5,1,3,10,38
93,75,7,5,1,3,9,37
92,71,7,5,1,3,9,42
94,73,7,5,1,3,9,38
91,74,7,5,1,3,9,40
92,75,7,4,1,3,11,37
91,75,8,4,0,3,9,40
91,72,8,5,0,3,9,42
92,71,8,5,1,3,8,42
96,69,7,5,1,3,9,40
92,67,8,4,1,4,10,44
91,72,8,5,0,3,9,42
98,69,7,4,1,3,9,39
95,73,6,5,1,3,9,38
94,73,8,5,0,3,9,38
93,75,6,4,1,3,9,39
91,74,8,5,0,3,9,40
91,72,7,3,1,3,11,42
96,69,8,5,0,3,12,37
90,71,7,5,1,3,11,42
91,74,7,5,1,3,9,40
92,70,5,5,1,3,12,42
91,74,7,5,1,3,9,40
93,73,9,5,1,3,9,37
93,71,7,5,1,3,9,41
93,72,9,5,1,3,10,37
91,73,8,5,1,3,9,40
96,75,5,4,1,3,9,37
94,72,7,4,0,3,9,41
95,74,8,3,1,3,9,37
95,72,7,5,1,3,9,38
94,73,8,5,1,3,9,37
99,74,6,4,1,3,9,34
95,72,8,4,1,3,9,38
94,73,7,5,1,3,9,38
98,69,5,4,1,3,9,41
91,71,8,5,1,3,9,42
96,71,8,5,1,3,9,37
91,75,8,4,1,3,9,39
96,73,8,2,1,3,10,37
96,69,7,5,1,3,9,40
96,71,8,5,1,3,9,37
97,69,8,4,0,3,9,40
94,71,6,5,1,3,9,41
93,74,6,3,1,3,8,42
92,74,7,5,1,3,9,39
94,73,7,5,0,3,9,39
94,73,7,5,1,3,10,37
91,72,7,5,1,3,9,42
90,74,6,5,1,3,9,42
93,70,8,4,0,3,12,40
93,75,7,5,1,3,9,37
90,70,7,5,1,3,12,42
94,73,9,5,0,3,9,37
94,75,7,4,0,3,8,39
91,72,8,4,1,3,9,42
97,66,5,4,1,3,12,42
91,73,7,4,1,3,9,42
92,73,7,4,0,3,9,42
92,75,7,5,1,3,9,38
92,75,8,3,1,3,9,39
95,70,6,4,0,3,11,41
91,74,7,5,1,3,9,40
91,71,8,5,1,3,9,42
91,75,8,4,1,3,9,39
94,69,6,5,1,3,9,43
92,70,7,5,1,3,9,43
94,74,8,5,0,3,9,37
91,71,8,5,1,3,9,42
95,68,7,4,1,3,9,43
93,71,8,5,1,3,9,40
93,75,7,5,1,3,9,37
98,70,5,5,1,3,9,39
91,72,7,5,1,3,9,42
93,71,9,4,1,3,9,40
94,72,5,5,1,3,9,41
91,73,6,5,1,3,9,42
94,70,5,5,1,3,9,43
92,70,8,4,1,3,12,40
93,75,8,3,1,3,9,38
88,70,7,5,1,3,11,45
91,74,8,3,1,3,11,39
94,70,7,5,1,3,9,41
94,71,6,5,1,3,8,42
92,72,8,5,1,3,10,39
93,72,8,5,1,3,9,39
96,69,8,5,1,3,9,39
93,75,7,5,1,3,9,37
93,70,7,4,1,6,9,40
94,75,5,2,1,4,9,40
91,76,7,5,0,3,10,38
96,72,7,5,1,3,9,37
93,71,7,5,1,3,9,41
92,75,8,2,1,4,9,39
95,72,6,5,0,3,9,40
96,66,8,3,1,3,9,44
93,75,7,5,1,3,9,37
91,72,5,5,2,3,9,43
96,66,7,5,1,3,12,40
98,69,8,2,1,3,9,40
93,71,8,5,0,3,9,41
94,72,5,3,1,3,10,42
94,71,6,5,1,3,9,41
93,75,7,5,1,3,9,37
102,66,6,4,1,3,9,39
95,70,7,5,1,3,12,37
94,72,7,5,1,3,11,37
93,75,7,5,1,3,9,37
94,75,5,5,1,3,9,38
98,70,7,5,1,3,9,37
92,75,9,4,0,3,9,38
92,69,7,5,1,4,9,43
92,74,8,5,2,3,9,37
96,69,8,4,1,3,9,40
94,75,7,4,1,4,9,36
94,71,5,5,0,3,10,42
92,70,7,5,1,3,9,43
91,72,7,5,1,3,9,42
93,74,5,5,1,3,9,40
99,70,6,5,1,3,9,37
97,74,7,4,0,3,9,36
91,72,8,5,0,3,9,42
93,75,8,3,1,3,9,38
95,73,8,5,0,3,9,37
95,72,9,5,0,4,9,36
93,73,7,5,1,3,9,39
95,74,6,5,1,3,9,37
95,70,7,5,1,3,12,37
94,68,8,5,0,3,12,40
94,72,5,5,1,3,9,41
91,71,8,5,1,3,9,42
94,73,7,5,1,3,9,38
97,71,8,5,2,3,9,35
94,72,8,5,1,3,9,38
94,74,8,5,0,4,9,36
93,70,9,3,1,3,12,39
91,71,7,4,1,3,11,42
95,70,8,5,1,3,9,39
91,74,8,5,1,3,9,39
95,71,8,5,1,3,9,38
92,75,8,5,1,3,9,37
98,66,7,4,2,3,12,38
94,72,5,3,1,3,10,42
96,64,8,5,0,4,9,44
95,69,8,5,1,3,9,40
97,68,7,5,1,3,9,40
97,69,8,2,1,4,8,41
95,70,7,5,1,3,9,40
96,66,8,5,1,3,11,40
96,68,6,4,1,3,12,40
94,71,8,5,1,3,9,39
91,68,8,4,0,4,9,46
94,73,7,5,1,3,10,37
94,72,5,3,0,3,11,42
91,74,7,5,1,3,9,40
91,72,7,5,1,3,9,42
93,71,8,4,1,3,10,40
94,75,6,4,1,3,9,38
95,74,8,3,1,3,9,37
94,73,7,5,1,3,9,38
94,71,5,5,1,3,9,42
101,67,6,5,1,3,9,38
92,71,8,4,0,3,11,41
92,74,6,4,1,3,8,42
96,68,5,5,1,3,9,43
91,74,10,5,1,3,9,37
94,75,5,4,1,3,9,39
94,72,7,5,1,3,11,37
92,70,7,5,1,3,9,43
95,71,8,4,0,3,11,38
98,69,6,4,1,3,9,40
92,75,5,3,1,3,10,41
96,74,5,5,1,4,9,36
95,71,5,5,1,3,9,41
93,75,6,3,1,4,9,39
97,71,5,4,1,3,12,37
90,75,7,5,1,3,11,38
94,75,5,3,1,3,9,40
92,69,7,4,0,3,12,43
100,70,6,4,1,3,10,36
91,76,7,5,1,3,9,38
95,74,5,5,0,4,11,36
97,67,6,5,1,3,12,39
93,72,7,5,1,3,11,38
99,70,6,5,1,3,9,37
93,75,7,3,1,3,11,37
95,75,8,4,0,3,8,37
94,70,8,5,1,3,9,40
98,71,6,5,1,3,9,37
95,74,5,5,1,3,9,38
94,71,8,5,1,3,11,37
99,71,5,4,1,3,9,38
93,72,9,5,2,3,9,37
94,74,5,5,1,3,9,39
95,75,5,4,1,3,9,38
96,75,5,4,1,3,9,37
93,71,8,4,0,3,9,42
95,66,8,5,1,3,9,43
93,70,8,3,1,3,9,43
93,75,8,3,2,3,9,37
90,75,8,5,1,3,9,39
95,71,8,4,0,3,12,37
91,70,7,5,0,3,12,42
96,71,6,5,0,3,9,40
91,72,8,3,1,3,10,42
92,71,7,3,1,3,11,42
96,67,5,5,1,3,10,43
95,72,8,5,1,3,9,37
91,71,8,5,1,3,9,42
93,72,9,4,2,3,9,38
92,70,7,4,1,3,10,43
93,72,9,5,2,3,9,37
92,71,8,5,1,3,9,41
93,71,7,4,1,3,9,42
98,65,8,5,1,4,9,40
94,72,5,3,1,3,9,43
91,75,8,3,1,3,9,40
97,66,7,5,1,3,9,42
97,69,8,4,1,3,9,39
92,70,7,4,1,3,12,41
91,72,5,5,1,3,11,42
93,75,7,5,1,3,9,37
93,73,7,5,1,3,11,37
102,67,8,2,2,3,9,37
96,72,5,4,1,3,11,38
91,70,8,4,1,3,10,43
95,73,6,5,1,3,9,38
101,66,7,5,1,3,9,38
94,70,8,5,1,3,9,40
101,68,6,5,1,3,9,37
95,72,6,5,1,3,11,37
93,69,7,5,1,3,9,43
93,69,5,4,1,3,12,43
91,75,9,5,1,3,9,37
94,71,6,5,1,3,9,41
91,74,8,5,0,3,11,38
92,76,5,3,1,3,9,41
95,63,8,5,0,3,12,44
91,74,8,5,1,3,9,39
91,74,8,5,1,3,9,39
97,69,6,5,1,3,11,38
92,73,7,5,1,3,11,38
94,74,8,5,0,3,9,37
92,75,6,4,1,3,11,38
94,72,7,5,1,3,10,38
95,73,8,3,1,3,9,38
96,70,6,5,1,3,12,37
91,75,7,2,1,4,10,40
94,70,7,3,1,3,11,41
98,68,6,2,1,3,12,40
95,74,5,4,0,3,11,38
94,73,7,5,1,3,10,37
92,74,7,5,1,3,9,39
90,75,7,5,1,3,9,40
91,75,7,4,1,3,9,40
100,65,6,4,1,3,12,39
91,75,6,5,0,3,10,40
94,72,8,5,0,3,9,39
96,73,5,5,0,3,9,39
94,74,8,4,0,3,9,38
94,71,7,5,1,3,12,37
94,71,8,5,0,3,9,40
93,75,6,4,1,3,9,39
94,73,7,5,1,3,10,37
93,75,7,3,1,3,11,37
93,75,7,5,1,3,9,37
94,72,8,3,1,3,11,38
99,62,8,5,1,3,9,43
95,74,8,2,0,5,9,37
91,72,7,4,1,3,11,41
91,71,8,5,1,3,9,42
90,76,7,5,0,3,9,40
91,75,9,5,1,3,9,37
93,71,9,2,1,4,11,39
99,69,6,4,0,3,9,40
91,74,7,4,1,3,11,39
91,72,8,4,1,3,9,42
93,71,7,4,1,3,9,42
97,72,6,5,1,3,9,37
94,75,6,5,1,3,9,37
92,72,8,5,1,3,11,38
91,69,7,5,1,4,12,41
94,73,6,3,1,3,9,41
94,73,7,5,1,3,9,38
91,71,7,4,1,3,11,42
95,72,8,4,1,3,9,38
92,71,9,3,1,3,10,41
91,75,7,4,1,3,9,40
97,71,6,4,1,3,11,37
93,75,7,5,1,3,9,37
99,72,7,4,1,3,12,32
93,74,6,5,1,3,9,39
93,71,7,4,2,3,9,41
95,75,5,5,1,3,9,37
94,71,7,5,1,3,9,40
94,72,5,5,1,3,9,41
95,74,5,5,1,3,9,38
95,73,7,5,1,3,9,37
95,74,7,5,0,3,9,37
91,70,7,4,1,3,12,42
92,73,8,2,1,4,9,41
91,70,7,5,1,4,11,41
97,68,8,5,1,3,9,39
98,64,7,5,1,3,11,41
100,65,6,5,1,3,12,38
93,71,8,3,1,3,11,40
92,75,8,5,1,4,9,36
91,75,8,4,1,3,8,40
96,69,8,5,1,3,11,37
91,75,9,5,1,3,9,37
92,70,8,3,1,3,12,41
94,74,7,5,1,3,9,37
95,73,6,5,1,3,10,37
97,70,7,5,1,3,10,37
92,75,7,5,1,3,9,38
91,75,8,4,0,3,9,40
93,74,8,3,0,3,9,40
93,75,7,2,1,4,11,37
95,75,5,5,1,3,9,37
93,75,7,3,1,3,11,37
96,69,7,5,1,3,9,40
94,68,7,5,1,3,12,40
93,72,6,5,0,3,9,42
95,73,8,2,1,4,10,37
90,71,8,5,1,3,10,42
94,74,7,5,1,3,9,37
97,68,7,4,1,4,9,40
92,73,8,5,1,3,9,39
99,69,8,5,1,3,9,36
94,71,8,3,1,3,9,41
98,69,6,4,1,3,9,40
98,75,5,5,1,3,9,34
91,75,8,4,1,3,9,39
91,75,8,4,1,3,9,39
91,71,8,4,1,3,10,42
97,70,7,5,1,3,9,38
92,71,7,5,1,3,9,42
96,71,8,5,1,3,9,37
95,73,5,5,1,3,9,39
91,74,7,5,1,3,11,38
95,75,5,5,1,4,9,36
94,74,7,5,1,3,9,37
94,72,8,4,1,3,10,38
92,71,8,5,1,3,9,41
93,72,6,5,0,3,9,42
99,72,6,5,1,3,9,35
91,72,7,5,1,3,9,42
93,74,5,5,1,3,9,40
91,74,8,5,1,3,9,39
94,70,8,5,1,3,9,40
91,72,7,4,1,3,10,42
93,75,7,5,1,3,9,37
91,71,8,5,1,3,9,42
93,70,7,4,0,3,12,41
93,74,7,5,0,3,11,37
96,74,8,2,1,3,9,37
95,70,5,5,1,3,9,42
91,72,7,5,1,3,9,42
93,75,8,3,1,3,9,38
95,73,6,5,1,3,9,38
91,70,7,5,1,3,12,41
93,75,7,5,1,3,9,37
95,70,6,5,1,3,9,41
100,64,7,5,1,3,9,41
96,75,5,4,1,3,9,37
92,76,7,3,1,3,9,39
96,72,5,4,1,3,12,37
94,70,7,5,1,3,9,41
93,71,7,5,1,3,8,42
96,73,6,5,1,3,9,37
91,74,8,5,1,3,9,39
96,73,6,5,1,3,9,37
93,75,7,4,1,3,9,38
91,71,8,5,1,3,9,42
92,71,7,5,1,3,9,42
98,67,8,5,1,3,9,39
98,67,7,5,1,3,9,40
98,69,6,4,1,3,8,41
92,71,7,5,1,3,9,42
95,73,6,5,1,3,9,38
96,70,7,2,1,3,11,40
93,71,7,5,1,3,9,41
92,74,7,5,1,3,9,39
96,73,6,5,1,3,9,37
91,75,8,4,0,3,11,38
93,75,7,5,1,3,9,37
92,74,6,5,1,3,9,40
92,74,5,4,1,3,9,42
93,74,5,5,1,3,9,40
95,73,7,5,0,4,10,36
97,69,6,5,1,3,9,40
93,75,7,5,1,3,9,37
95,75,5,3,1,3,10,38
94,70,5,5,1,3,9,43
93,71,7,5,1,3,9,41
92,77,9,3,0,3,9,37
95,74,5,5,1,4,9,37
93,75,7,5,1,3,9,37
92,71,8,5,1,3,12,38
94,73,5,5,0,3,9,41
92,70,8,3,1,3,9,44
94,70,7,5,1,3,9,41
90,74,8,5,1,3,9,40
94,72,7,5,1,3,11,37
91,75,8,5,1,3,9,38
93,71,8,5,1,3,12,37
90,73,8,5,1,3,11,39
92,71,7,5,1,3,9,42
95,75,5,5,1,3,9,37
101,66,7,2,2,3,12,37
93,75,7,5,1,3,9,37
93,71,8,5,1,3,8,41
98,69,6,4,1,3,9,40
95,71,6,5,1,3,12,37
94,71,6,5,1,3,8,42
91,73,7,5,1,3,9,41
95,74,8,4,0,3,9,37
93,68,8,5,0,4,9,43
96,70,6,5,1,3,9,40
96,73,6,3,1,4,9,38
95,71,8,4,0,3,12,37
95,75,5,4,1,3,9,38
96,71,8,5,1,3,9,37
91,74,7,5,1,3,9,40
95,74,8,4,0,3,9,37
97,73,8,5,0,3,9,35
97,69,6,5,1,3,9,40
94,70,8,5,1,3,12,37
92,72,7,5,1,3,9,41
90,73,8,5,0,3,9,42
100,71,6,2,2,3,9,37
96,74,5,5,1,3,9,37
92,74,7,5,1,3,9,39
91,74,7,4,1,3,11,39
92,74,7,5,0,3,9,40
100,70,5,5,1,3,9,37
100,66,8,4,1,3,10,38
94,71,7,4,1,3,9,41
92,70,5,5,1,3,12,42
93,69,7,5,1,3,9,43
93,75,7,5,1,3,9,37
95,75,5,5,1,4,9,36
91,71,8,5,1,3,9,42
91,73,8,3,1,3,9,42
97,73,6,5,0,3,9,37
95,74,6,4,1,3,9,38
95,73,6,5,1,3,9,38
95,75,5,4,1,3,9,38
91,74,8,5,1,3,9,39
95,75,5,5,1,3,9,37
99,71,5,4,1,3,9,38
96,75,5,4,1,3,9,37
94,72,8,5,1,3,9,38
90,75,7,5,1,3,9,40
95,74,5,5,1,3,10,37
94,73,7,5,1,3,9,38
91,74,8,5,1,3,9,39
94,73,6,3,0,3,11,40
94,74,7,4,1,3,9,38
97,66,7,5,1,3,12,39
90,69,8,3,1,3,9,47
94,75,5,4,1,3,11,37
95,73,6,5,0,3,9,39
97,68,7,5,1,3,12,37
94,73,7,5,0,3,11,37
94,72,7,5,1,3,11,37
94,71,6,5,1,3,8,42
93,71,8,5,1,3,9,40
100,70,5,2,0,3,9,41
91,74,7,4,1,3,9,41
97,70,6,4,1,3,9,40
97,72,5,5,1,3,9,38
94,74,8,3,1,3,10,37
97,68,6,4,1,3,8,43
92,74,5,5,1,3,11,39
90,69,7,5,1,3,12,43
92,71,7,5,1,3,9,42
92,75,7,5,1,3,9,38
89,69,7,4,1,3,9,48
91,77,7,5,1,3,8,38
96,75,5,4,1,3,9,37
92,71,8,5,1,3,10,40
91,72,8,5,1,3,9,41
91,74,7,5,1,3,9,40
94,71,7,5,1,3,9,40
91,74,7,5,1,3,9,40
95,75,5,4,1,3,9,38
93,71,7,4,1,3,9,42
93,71,9,5,0,3,9,40
94,74,7,4,1,3,9,38
95,71,6,4,1,3,12,38
92,70,6,5,1,3,10,43
91,71,8,5,1,3,9,42
94,70,7,5,1,3,9,41
94,71,5,5,1,3,9,42
99,72,6,2,1,4,8,38
94,73,7,4,1,3,10,38
91,74,8,5,1,3,9,39
94,74,5,5,0,3,9,40
95,75,5,5,1,3,9,37
94,70,5,5,1,4,9,42
96,70,8,4,0,3,9,40
91,75,8,5,1,3,9,38
94,71,7,4,1,3,11,39
97,74,7,4,1,3,9,35
94,71,8,4,1,3,9,40
92,75,7,4,0,3,9,40
91,71,8,5,1,3,9,42
97,70,8,5,1,3,9,37
94,73,7,5,1,3,9,38
99,68,8,2,1,3,9,40
94,70,5,5,1,3,9,43
97,68,8,5,1,3,9,39
92,74,7,3,1,3,9,41
90,74,8,5,1,3,10,39
95,72,8,4,0,3,9,39
96,75,5,4,1,3,9,37
91,72,8,5,1,3,9,41
94,70,8,5,1,3,9,40
92,72,7,4,1,3,9,42
91,73,5,5,0,3,11,42
102,63,8,4,2,3,10,38
94,69,10,3,1,3,12,38
95,75,5,4,0,3,9,39
97,74,6,3,1,3,9,37
95,70,5,5,1,3,9,42
94,70,5,5,1,3,9,43
95,67,7,5,1,3,9,43
95,74,5,5,1,3,9,38
99,70,6,4,1,3,12,35
93,72,10,4,1,3,9,38
99,68,8,4,1,3,10,37
94,71,5,5,1,3,9,42
96,68,9,5,1,3,9,39
91,72,7,5,1,3,9,42
91,71,7,4,1,3,11,42
96,74,5,3,1,3,9,39
93,73,7,5,1,3,9,39
96,71,8,5,1,3,9,37
92,71,7,5,1,3,9,42
97,74,7,4,1,3,9,35
97,70,6,4,1,3,9,40
94,71,5,5,1,3,9,42
92,75,8,5,1,3,9,37
97,70,6,5,0,3,9,40
95,74,6,4,0,3,9,39
94,73,7,5,1,3,9,38
90,69,8,5,0,3,12,43
95,73,7,4,1,3,9,38
90,70,8,5,0,3,12,42
93,75,7,5,1,3,9,37
90,71,8,5,1,3,10,42
99,72,6,4,0,3,9,37
95,69,5,5,1,3,9,43
98,72,8,5,1,3,9,34
96,64,8,5,1,3,9,44
91,75,9,5,1,3,9,37
95,74,6,5,1,3,8,38
95,71,7,4,1,3,12,37
95,73,6,5,1,3,9,38
96,64,7,5,0,4,12,42
102,65,6,5,1,3,9,39
94,70,7,5,1,3,9,41
95,73,5,5,1,3,11,37
94,69,8,5,1,3,10,40
93,72,8,5,1,3,9,39
95,73,8,2,1,4,9,38
98,72,5,5,1,3,9,37
91,72,7,5,1,3,9,42
88,73,7,3,1,4,9,45
93,72,9,5,1,3,9,38
92,75,8,5,1,3,9,37
94,72,8,5,1,3,9,38
92,73,6,5,1,3,9,41
91,74,8,5,1,3,9,39
93,71,7,5,1,3,9,41
93,74,7,5,1,3,10,37
95,74,5,5,1,3,9,38
94,72,7,5,1,3,10,38
93,74,6,5,1,3,9,39
95,69,5,5,1,3,9,43
92,75,8,3,1,3,9,39
93,71,6,5,1,3,9,42
94,75,8,3,1,3,8,38
92,72,8,2,1,4,9,42
92,70,7,5,1,3,9,43
95,71,5,4,1,3,12,39
90,75,7,5,1,3,9,40
94,71,8,4,1,3,9,40
101,66,8,3,1,3,9,39
93,72,8,4,1,3,9,40
96,71,7,3,1,3,9,40
93,71,7,5,1,3,9,41
97,70,8,5,0,4,10,36
91,74,5,5,1,3,9,42
92,71,7,5,1,3,9,42
94,74,7,5,1,3,9,37
96,68,5,5,1,3,9,43
91,71,8,5,1,3,9,42
97,67,7,4,1,3,12,39
96,69,7,5,1,3,9,40
94,70,5,5,1,3,9,43
94,74,7,5,1,3,9,37
94,75,6,5,1,3,9,37
90,74,7,5,1,3,11,39
93,72,9,2,1,4,11,38
93,74,7,5,1,3,8,39
94,73,6,5,1,3,9,39
100,66,8,5,0,3,9,39
96,71,8,4,1,3,9,38
97,68,6,5,1,3,12,38
95,72,6,5,1,3,11,37
94,75,6,5,1,3,9,37
94,69,7,5,2,3,9,41
94,72,8,5,1,3,9,38
99,69,5,4,1,3,9,40
92,67,7,5,1,3,12,43
94,74,7,5,1,3,9,37
91,72,8,5,1,3,8,42
93,76,7,5,0,4,9,36
93,73,7,5,1,3,9,39
93,72,6,4,1,3,9,42
96,72,8,4,0,3,9,38
91,75,7,5,1,3,10,38
97,71,6,3,1,3,9,40
91,75,8,2,1,4,9,40
95,74,5,5,1,3,9,38
98,68,7,4,1,3,9,40
93,75,7,5,1,3,9,37
93,73,8,5,0,3,10,38
95,73,5,5,1,3,9,39
93,74,7,5,1,3,9,38
95,75,5,5,1,3,9,37
97,69,6,5,1,3,9,40
93,74,5,3,1,3,9,42
93,71,7,5,1,3,8,42
92,71,6,5,1,3,10,42
91,71,8,5,1,3,9,42
95,71,6,5,1,3,9,40
93,75,7,5,1,3,9,37
93,73,8,4,1,3,9,39
94,72,5,5,1,3,9,41
100,71,5,3,1,3,9,38
91,71,8,5,1,3,9,42
91,73,7,4,0,3,11,41
92,71,8,5,1,3,9,41
95,75,5,5,1,3,9,37
94,71,7,4,1,3,9,41
96,69,8,3,1,3,9,41
90,75,8,5,1,3,9,39
95,71,7,5,1,3,11,37
94,72,8,5,1,4,10,36
94,70,7,5,1,3,9,41
95,74,5,5,1,3,10,37
94,73,7,5,0,3,11,37
92,75,7,4,1,3,11,37
94,72,5,4,1,3,9,42
90,75,9,5,0,3,9,39
92,71,8,4,1,3,11,40
93,71,7,5,1,3,9,41
95,71,8,4,0,3,12,37
95,72,8,5,1,3,9,37
95,73,7,5,1,3,9,37
91,74,8,3,1,3,9,41
99,66,7,4,1,3,9,41
94,74,7,4,1,3,9,38
94,71,7,5,1,3,12,37
93,69,5,5,1,3,12,42
98,66,8,5,1,3,9,40
95,71,8,5,0,3,9,39
96,75,5,5,1,4,9,35
95,69,7,5,1,4,12,37
92,75,7,3,1,3,9,40
95,72,8,4,1,3,9,38
93,71,8,5,0,3,9,41
93,74,5,5,1,3,8,41
92,71,7,4,1,3,11,41
91,75,9,4,1,3,9,38
95,75,5,5,1,3,9,37
94,69,7,5,1,6,9,39
91,73,7,5,1,3,9,41
92,75,7,4,1,3,9,39
96,69,7,5,1,3,12,37
94,75,8,2,1,4,9,37
94,72,8,5,2,3,9,37
97,67,8,5,1,3,10,39
93,75,7,5,1,3,9,37
98,71,5,5,2,3,9,37
93,72,7,5,1,3,11,38
91,74,7,5,1,3,9,40
99,69,6,3,1,3,9,40
92,71,7,5,1,3,9,42
95,63,8,5,1,3,11,44
94,71,5,5,1,3,9,42
90,72,8,5,1,3,10,41
94,75,5,3,1,3,9,40
96,66,8,5,1,3,9,42
94,71,7,4,1,3,9,41
93,74,6,5,1,3,9,39
93,75,8,5,0,3,9,37
92,75,9,4,0,3,9,38
97,66,8,4,1,3,12,39
94,71,6,5,1,3,9,41
95,73,5,5,1,3,11,37
95,74,6,5,1,3,8,38
92,74,7,4,0,3,11,39
92,75,8,4,1,3,9,38
94,75,6,4,1,3,9,38
95,69,6,5,1,4,8,42
93,75,7,3,1,3,11,37
93,72,8,5,1,3,9,39
92,72,8,5,1,3,10,39
91,75,7,4,1,3,8,41
95,75,5,4,0,3,11,37
95,73,7,4,1,3,9,38
93,75,7,5,1,3,9,37
96,71,8,5,1,3,9,37
91,70,8,4,1,3,9,44
94,75,7,2,1,4,10,37
94,73,6,3,1,3,9,41
94,68,7,5,1,3,12,40
94,73,7,5,1,3,9,38
92,71,8,3,1,3,10,42
92,70,8,5,1,3,12,39
92,71,8,5,1,3,9,41
94,71,5,4,1,3,10,42
96,69,7,5,1,3,12,37
95,73,7,4,1,3,10,37
94,71,5,5,1,3,9,42
92,70,8,5,1,3,12,39
100,68,8,2,1,3,9,39
92,70,7,5,1,3,9,43
94,73,7,5,1,3,9,38
94,69,8,5,1,4,8,41
93,74,7,5,1,3,9,38
90,70,7,5,1,3,12,42
94,74,6,3,1,3,9,40
91,74,8,5,1,3,9,39
93,72,9,5,1,3,9,38
95,71,7,5,0,3,9,40
92,71,7,5,0,3,10,42
96,68,7,5,1,3,11,39
94,72,7,5,2,3,11,36
102,69,8,2,0,3,9,37
94,71,8,3,1,3,10,40
91,72,9,5,1,3,9,40
95,74,5,4,1,3,10,38
94,74,7,3,1,3,9,39
93,75,7,5,1,3,9,37
94,75,7,4,1,3,9,37
97,66,8,5,0,3,12,39
93,73,7,5,1,3,9,39
94,74,5,4,1,3,10,39
94,73,7,5,1,3,9,38
96,66,5,5,0,3,11,44
91,76,8,3,1,3,9,39
100,70,6,5,1,3,9,36
97,68,7,5,1,3,8,41
93,75,7,3,1,3,11,37
94,74,7,4,1,3,9,38
93,71,8,5,1,3,9,40
92,75,7,3,1,3,9,40
96,64,7,5,1,3,12,42
94,74,7,3,1,3,11,37
96,68,8,5,1,3,11,38
97,69,7,4,1,3,9,40
92,73,7,5,1,3,11,38
95,73,7,4,1,3,9,38
94,73,8,5,0,3,9,38
91,72,7,5,1,3,9,42
95,73,5,5,1,3,11,37
92,70,6,5,1,3,12,41
93,75,5,4,1,3,11,38
94,72,8,5,1,3,10,37
94,70,7,5,0,3,8,43
95,75,5,5,0,3,9,38
93,73,5,5,1,3,9,41
93,70,7,5,1,3,9,42
91,75,8,4,1,3,9,39
91,74,8,5,1,3,9,39
96,74,5,4,1,3,9,38
98,69,6,5,0,3,9,40
89,75,7,5,1,3,9,41
95,75,5,4,0,3,9,39
91,75,8,5,1,3,9,38
95,70,8,5,1,3,9,39
94,74,7,3,1,3,9,39
97,68,8,5,1,3,9,39
93,74,8,3,1,3,9,39
92,74,7,5,1,3,9,39
91,74,8,5,1,3,9,39
94,71,7,4,1,3,11,39
100,65,7,3,1,3,9,42
99,71,5,4,1,3,9,38
95,75,5,5,1,3,9,37
97,72,6,4,1,3,9,38
92,73,7,3,1,3,9,42
93,71,7,5,1,3,9,41
94,72,5,4,0,3,10,42
96,70,8,5,2,3,9,37
93,71,7,3,1,3,11,41
98,66,7,4,1,3,9,42
91,71,8,4,1,3,10,42
99,74,8,3,1,3,9,33
97,69,6,5,1,3,12,37
95,73,7,5,1,3,9,37
93,71,7,5,1,3,9,41
93,75,7,4,2,3,9,37
94,72,6,3,1,3,10,41
96,72,8,4,1,3,9,37
92,71,8,5,1,3,9,41
93,72,7,5,1,3,11,38
96,69,7,5,1,3,9,40
94,72,8,5,1,3,9,38
95,74,5,5,1,3,9,38
