PSD,PS,CDS-PP,BE,CDU,PAN,LIVRE,IL,Chega
94,99,0,8,7,2,1,8,11
96,97,0,10,6,1,1,8,11
99,96,0,8,8,2,1,8,8
94,101,0,9,7,1,1,6,11
95,99,0,10,8,1,1,6,10
96,102,0,7,6,1,1,6,11
96,103,0,7,6,1,1,8,8
99,95,0,9,8,1,1,6,11
99,97,0,7,8,1,1,6,11
94,102,1,7,7,1,1,6,11
92,103,0,9,7,1,1,6,11
94,100,0,8,7,1,1,8,11
93,102,0,7,8,2,1,6,11
89,101,1,10,8,2,1,7,11
90,103,0,10,7,1,1,8,10
92,100,0,9,8,2,1,8,10
93,99,0,10,8,1,1,8,10
92,105,0,7,7,1,1,6,11
89,101,0,9,8,2,1,9,11
99,97,1,7,8,1,1,6,10
95,100,0,7,6,2,1,8,11
94,100,0,7,8,2,1,7,11
98,96,0,8,7,2,1,8,10
98,97,0,8,7,1,1,9,9
97,98,0,10,9,1,1,6,8
96,94,0,9,9,2,1,8,11
97,94,0,9,7,2,1,9,11
90,104,0,9,8,2,1,6,10
96,95,0,9,9,2,1,8,10
90,102,0,7,8,2,1,9,11
94,100,0,7,7,1,1,9,11
90,103,0,10,8,1,1,6,11
90,103,0,9,9,2,1,6,10
99,95,0,8,7,1,1,8,11
90,104,0,9,8,2,1,6,10
95,101,0,9,6,1,1,7,10
95,99,0,9,8,1,1,6,11
91,105,0,7,8,1,1,6,11
91,105,0,7,8,1,1,6,11
94,100,0,9,8,1,1,6,11
98,98,0,9,5,2,1,7,10
90,103,0,10,8,1,1,6,11
94,101,0,9,7,1,1,6,11
96,98,0,7,7,1,1,9,11
88,103,0,9,8,1,1,9,11
91,103,0,9,8,1,1,7,10
95,98,0,10,7,2,1,6,11
91,104,0,9,8,1,1,6,10
97,99,0,7,8,1,1,9,8
91,103,0,7,7,2,1,8,11
93,103,0,8,7,2,1,6,10
96,97,0,9,7,2,1,8,10
91,105,0,7,8,1,1,6,11
94,105,0,7,7,1,1,6,9
96,100,0,9,6,2,1,6,10
93,99,0,8,8,1,1,9,11
97,97,0,9,8,2,1,6,10
98,97,0,8,7,1,1,9,9
95,99,0,9,8,1,1,6,11
97,98,0,7,8,2,1,7,10
95,100,0,7,7,2,1,8,10
92,100,0,7,8,2,1,9,11
96,102,0,8,5,2,1,6,10
93,104,0,7,7,1,1,7,10
97,97,0,8,7,1,1,9,10
97,97,0,9,8,1,1,7,10
93,99,0,9,8,1,1,9,10
95,102,0,7,6,1,2,6,11
93,104,0,7,7,1,1,6,11
90,104,0,7,7,2,1,8,11
100,99,0,7,7,1,1,6,9
93,100,0,7,8,1,1,9,11
96,100,0,7,7,2,1,6,11
90,104,0,7,7,2,1,8,11
96,97,0,8,7,1,1,9,11
96,96,0,9,8,1,1,8,11
90,105,0,7,8,2,1,6,11
90,106,0,7,6,1,1,8,11
91,104,0,9,6,2,1,6,11
97,99,0,8,7,1,1,6,11
96,100,0,9,7,1,1,6,10
90,105,0,7,7,1,1,9,10
95,102,0,7,8,1,1,8,8
98,95,0,8,9,1,1,7,11
97,98,0,8,8,1,1,6,11
93,100,0,7,8,2,1,9,10
99,98,0,7,7,1,1,6,11
98,96,0,8,9,1,1,6,11
90,105,0,10,6,1,1,6,11
92,104,0,7,7,1,1,7,11
97,97,0,8,7,1,1,9,10
92,105,0,7,7,1,1,6,11
91,103,0,10,7,2,1,6,10
94,97,0,9,8,2,1,8,11
94,99,0,9,8,2,1,6,11
93,100,0,7,8,2,1,8,11
97,99,0,7,6,2,1,7,11
96,98,1,9,7,2,1,6,10
94,100,0,9,8,2,1,6,10
98,95,0,7,7,2,1,10,10
96,97,0,9,7,2,1,8,10
93,98,0,9,8,2,1,8,11
95,98,0,9,6,2,1,8,11
98,95,1,9,7,1,1,9,9
97,98,0,7,8,2,1,7,10
91,100,0,8,8,2,1,9,11
97,97,0,8,8,1,1,7,11
91,103,0,7,8,2,1,7,11
94,103,1,7,7,1,1,6,10
97,94,0,8,8,1,1,10,11
98,96,0,7,9,1,1,7,11
96,101,0,7,8,1,1,6,10
90,101,0,9,9,2,1,8,10
100,92,0,11,7,1,1,9,9
91,104,0,9,8,1,1,6,10
94,102,0,7,7,2,1,6,11
97,99,0,10,6,1,1,6,10
94,99,1,9,8,2,1,6,10
94,100,0,9,6,2,1,7,11
97,93,0,9,7,2,1,11,10
90,105,0,7,9,1,1,6,11
98,98,0,7,8,1,1,7,10
97,98,0,9,7,2,1,6,10
95,98,0,7,8,1,1,9,11
95,99,0,8,7,1,1,8,11
97,98,0,7,6,2,1,8,11
95,98,0,9,7,1,1,9,10
94,100,0,9,8,1,1,6,11
96,97,0,9,8,2,1,6,11
91,104,0,7,8,1,1,8,10
93,100,0,7,7,2,1,9,11
91,104,0,7,8,1,1,7,11
91,103,0,8,7,1,1,8,11
88,108,0,7,7,1,1,8,10
91,105,0,7,7,2,1,6,11
97,98,0,7,8,2,1,7,10
95,102,0,7,7,2,1,6,10
96,99,0,7,8,2,1,6,11
99,97,0,7,8,1,1,6,11
94,101,0,9,7,1,1,7,10
94,103,0,7,7,1,1,6,11
96,99,0,7,8,2,1,6,11
98,95,0,8,7,2,1,8,11
95,103,0,7,7,1,1,6,10
96,98,0,7,7,1,1,9,11
97,98,0,8,7,2,1,6,11
95,101,0,7,8,1,1,7,10
97,101,0,7,7,1,1,6,10
97,97,0,8,7,1,1,9,10
99,95,0,9,8,1,1,6,11
96,100,0,7,8,1,1,6,11
96,99,0,7,8,1,1,7,11
91,105,0,7,8,1,1,6,11
96,97,0,9,7,1,1,8,11
93,100,0,7,8,1,1,9,11
94,105,0,7,8,1,1,6,8
94,98,0,8,8,2,1,9,10
96,99,0,10,6,1,1,6,11
91,105,0,7,8,1,1,6,11
98,98,0,9,7,2,1,6,9
92,105,0,7,7,1,1,6,11
98,96,0,8,9,1,1,7,10
97,98,0,7,9,1,1,6,11
93,101,0,7,7,2,1,8,11
96,95,0,7,9,2,1,9,11
95,101,0,7,7,1,1,7,11
93,99,0,10,8,2,1,7,10
94,101,0,7,7,2,1,7,11
91,103,0,9,8,1,1,6,11
94,98,0,7,8,2,1,9,11
95,99,0,7,8,2,1,8,10
91,105,0,7,7,2,1,6,11
96,97,0,9,8,2,1,6,11
90,105,0,7,8,2,1,6,11
92,99,0,8,8,2,1,9,11
97,97,0,8,8,2,1,6,11
